wob_min,wob_max,wob_mean,wob_std,wob_skew,wob_kuet,T_min,T_max,T_mean,T_std,T_skew,T_kuet,S,Z,res,序号,岩性名称,设备S,设备Z,静态抗压强度σc/MPa,弹性模量E/GPa,泊松比,抗拉强度 σci /MPa,黏聚力,内摩擦角φ/°,"拉强比
/%","脆性指数
KN/mm",回弹均值 RM,动态强度/MPa, 滑动摩擦系数μ,声级LAeq（dB）,"波速vp
/m·s","密度均值
/g·cm-","渗透率mD
5MPa","孔隙度%
5MPa","粒径Dv(90)
μm"
2.96571,3.90619,3.4116666666666666,0.32656454082615893,0.3750182530181496,-1.3184576975955018,8.6,11.506,9.937000000000001,0.9362119151132398,0.1882365258075704,-0.7338377458487004,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.96174,3.87577,3.386798,0.2648623704156977,0.5770724778963052,0.4344015731453821,9.048,11.474,10.2254,0.8645817485929254,0.2095848680465049,-1.2137668837740327,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.91345,3.8883,3.3850777777777776,0.3477066728500396,-0.09588675345155957,-1.2253777791202567,8.573,11.432,10.18322222222222,1.0483052725444266,-0.48949464433604245,-1.3701766221215572,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.06885,3.89564,3.4117089999999997,0.32127135710935845,0.528293346754401,-1.6813243088322385,8.7,11.717,10.285400000000001,1.0300324913969139,-0.13577622360178518,-1.2265744508701588,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.10769,3.80446,3.48822,0.2646341570923906,-0.023182439757651396,-1.5634715465855185,9.291,12.007,10.558444444444444,1.0716802357876052,0.1794631677787171,-1.7293956165824178,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.07727,3.85752,3.4593340000000006,0.2378919575587017,0.19115377287366056,-0.22699191842940003,8.563,11.97,10.2342,1.183663972586815,0.2690981023369118,-1.360029263727479,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.05017,3.77982,3.486057,0.28523025276081776,-0.5553043804825897,-1.3483968062774845,9.106,11.738,10.4057,0.8546648530921995,-0.12131398931966482,-0.8411522752228668,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.01659,3.84147,3.4694122222222226,0.2790445385049571,-0.027596648531392123,-0.9863451258271314,8.726,11.807,10.33611111111111,0.8844678406313656,-0.14917610520918906,0.689269424356759,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.06143,3.8548,3.455579,0.2287299388386031,0.11760398832407701,0.20556794106779552,9.048,11.464,10.3777,0.8781078205120624,-0.1772263156091491,-1.2637835712998058,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.09923,3.89141,3.4728777777777777,0.28868704420954616,0.1488090981733571,-1.237651255436211,8.837,12.007,10.39122222222222,1.1129930118578661,0.017682196312138288,-1.314532234705243,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.07631,3.94987,3.4895400000000003,0.2952424558072757,0.5008227762851803,-0.9556402142911571,8.468,11.58,10.335500000000001,0.958352782411339,-0.48178090880494584,0.21243198078805747,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.03008,3.88847,3.514565555555555,0.2864369640562785,-0.5605319474563183,-0.8985254051942815,8.726,11.981,10.181333333333335,1.0201482735367442,0.27412146381209085,0.04405964840893262,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.02953,3.95242,3.448004,0.2968609725556169,0.32433296891087804,-1.035355477006549,9.016,11.859,10.49,0.8825027541663037,0.256651075818046,-0.42488116179729385,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.17191,3.94649,3.539086666666667,0.2990683344571939,0.19102530188318742,-1.5355685209757155,9.217,12.112,10.583333333333334,1.0892904800832512,0.04536609429443462,-1.6435800141892951,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.18824,3.96537,3.5671490000000006,0.2399750800233687,0.06287137937362791,-0.6685412451075119,9.074,11.648,10.263200000000001,0.7497956462337663,0.18002953290255147,0.12632985963572452,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
